"","utility","pcr_target","measure_date","ND_flag","year_week","week_start","week","CDC_TwoWeek_Detection_Flag","CDC_FourWeek_Detections","CDC_FourWeek_Submission","FourWeek_Detection_Percent","CDC_PersistentDetection_Flag","CDC_Detection_Flag"
"242","Utility5","H5",2024-12-09,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"243","Utility5","H5",2024-12-12,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"244","Utility5","H5",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"245","Utility5","H5",2024-12-19,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"246","Utility5","H5",2024-12-26,"No Detection","2024-52",2024-12-23,26,"no",0,7,0,"no","no"
"247","Utility5","PanRSV",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"248","Utility5","PanRSV",2024-12-05,"No Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"249","Utility5","PanRSV",2024-12-09,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"250","Utility5","PanRSV",2024-12-12,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"251","Utility5","PanRSV",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",1,6,16.6666666666667,"no","yes"
"252","Utility5","PanRSV",2024-12-19,"No Detection","2024-51",2024-12-16,27,"no",1,6,16.6666666666667,"no","yes"
"253","Utility5","PanRSV",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",2,7,28.5714285714286,"no","yes"
"254","Utility5","sars-cov-2",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",2,2,100,"yes","no"
"255","Utility5","sars-cov-2",2024-12-05,"Detection","2024-49",2024-12-02,29,"yes",2,2,100,"yes","no"
"256","Utility5","sars-cov-2",2024-12-09,"Detection","2024-50",2024-12-09,28,"yes",4,4,100,"yes","no"
"257","Utility5","sars-cov-2",2024-12-12,"Detection","2024-50",2024-12-09,28,"yes",4,4,100,"yes","no"
"258","Utility5","sars-cov-2",2024-12-16,"Detection","2024-51",2024-12-16,27,"yes",6,6,100,"yes","no"
"259","Utility5","sars-cov-2",2024-12-19,"Detection","2024-51",2024-12-16,27,"yes",6,6,100,"yes","no"
"260","Utility5","sars-cov-2",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",7,7,100,"yes","no"
